id,country,age,gender,EDUCATION_LEVEL,wtp_access,wtp_private,wtp_amount_1,wtp_amount_2a,wtp_amount_2b,geq_taxes_0,geq_taxes_1,geq_taxes_2a,geq_taxes_2b,geq_ticket_0,geq_ticket_1,geq_ticket_2a,geq_ticket_2b,wtpVal,taxesExtra,ticketExtra,wtpVal_PPP,taxesExtra_PPP,ticketExtra_PPP,WTP_R1,WTP_R2_aux,geq_taxes_R1,geq_taxes_R2_aux,geq_ticket_R1,geq_ticket_R2_aux,WTP_R2,geq_taxes_R2,geq_ticket_R2,WTP_BD1,WTP_BD2,geq_taxes_BD1,geq_taxes_BD2,geq_ticket_BD1,geq_ticket_BD2,WTP_BD1_PPP,WTP_BD2_PPP,geq_taxes_BD1_PPP,geq_taxes_BD2_PPP,geq_ticket_BD1_PPP,geq_ticket_BD2_PPP
20,UK,58,Male,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,5,5,NA,10,10,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,5,10,5,10,NA,NA,10,20,10,20
21,UK,68,Male,University completed,Vaccines are only available for private purchase,Yes,Yes,Yes,NA,No,NA,NA,NA,No,NA,NA,NA,30,NA,NA,50,NA,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,30,60,NA,NA,NA,NA,50,100,NA,NA,NA,NA
22,UK,67,Female,Secondary completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,DK,NA,NA,NA,No,NA,NA,NA,230,NA,NA,400,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,230,115,NA,NA,NA,NA,400,200,NA,NA,NA,NA
23,UK,59,Male,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,Yes,DK,NA,NA,NA,NA,60,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,100,NA
24,UK,46,Female,Primary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,DK,No,NA,NA,NA,DK,NA,NA,NA,575,NA,NA,1000,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,575,287.5,NA,NA,NA,NA,1000,500,NA,NA,NA,NA
25,UK,70,Male,Primary completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,DK,NA,NA,Yes,Yes,DK,NA,575,2880,115,1000,5000,200,1,Yes,NA,NA,1,DK,1,NA,NA,575,1150,2880,NA,115,230,1000,2000,5000,NA,200,400
26,UK,59,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UK,40,Male,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,Yes,Yes,Yes,Yes,NA,Yes,No,NA,No,575,5,115,1000,10,200,0,Yes,1,Yes,0,No,1,1,0,575,287.5,5,10,115,57.5,1000,500,10,20,200,100
28,UK,69,Male,Less than primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,DK,NA,NA,Yes,Yes,DK,NA,NA,575,30,NA,1000,50,NA,NA,NA,NA,1,DK,NA,NA,NA,NA,NA,575,NA,30,60,NA,NA,1000,NA,50,100
29,UK,76,Female,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,No,NA,DK,DK,NA,NA,NA,NA,575,NA,NA,1000,NA,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,575,287.5,NA,NA,NA,NA,1000,500,NA,NA
30,UK,57,Female,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,UK,62,Male,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,Yes,Yes,Yes,NA,NA,575,60,NA,1000,100,NA,NA,1,DK,1,Yes,NA,NA,1,NA,NA,575,1150,60,120,NA,NA,1000,2000,100,200
32,UK,71,Male,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,UK,74,Female,Less than primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,UK,71,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,DK,NA,NA,NA,2880,30,NA,5000,50,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,2880,1440,30,NA,NA,NA,5000,2500,50,NA
35,UK,37,Male,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,Yes,No,NA,Yes,Yes,No,NA,230,290,30,400,500,50,0,Yes,1,No,1,No,1,0,0,230,115,290,580,30,60,400,200,500,1000,50,100
36,UK,61,Male,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,Yes,No,NA,Yes,60,290,115,100,500,200,1,Yes,1,DK,0,Yes,1,NA,1,60,120,290,580,115,57.5,100,200,500,1000,200,100
37,UK,60,Male,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,Yes,DK,NA,NA,NA,60,115,NA,100,200,NA,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,60,120,115,NA,NA,NA,100,200,200,NA
38,UK,51,Male,Secondary completed,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,No,NA,No,Yes,Yes,Yes,NA,575,2880,10,1000,5000,20,0,Yes,0,No,1,Yes,1,0,1,575,287.5,2880,1440,10,20,1000,500,5000,2500,20,40
39,UK,65,Male,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,DK,NA,Yes,Yes,DK,NA,NA,60,5,NA,100,10,NA,NA,1,DK,1,DK,NA,NA,NA,NA,NA,60,120,5,10,NA,NA,100,200,10,20
40,UK,73,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,UK,56,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,DK,NA,NA,No,NA,NA,NA,NA,290,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,500,NA,NA,NA
42,UK,54,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,No,NA,Yes,Yes,No,NA,Yes,60,2880,30,100,5000,50,1,No,0,Yes,0,Yes,0,1,1,60,120,2880,1440,30,15,100,200,5000,2500,50,25
43,UK,31,Male,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,UK,52,Male,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,NA,60,10,NA,100,20,NA,NA,1,No,1,No,NA,0,0,NA,NA,60,120,10,20,NA,NA,100,200,20,40
45,UK,65,Male,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,NA,60,10,NA,100,20,NA,NA,1,No,1,Yes,NA,0,1,NA,NA,60,120,10,20,NA,NA,100,200,20,40
46,UK,60,Male,Secondary completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,Yes,Yes,No,NA,60,575,115,100,1000,200,0,No,1,Yes,1,No,0,1,0,60,30,575,1150,115,230,100,50,1000,2000,200,400
47,UK,57,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,30,NA,NA,50,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,30,60,NA,NA,NA,NA,50,100,NA,NA
48,UK,74,Male,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,30,5,NA,50,10,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,30,60,5,10,NA,NA,50,100,10,20
49,UK,72,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,575,NA,NA,1000,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,575,1150,NA,NA,NA,NA,1000,2000,NA,NA
50,UK,65,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,DK,NA,NA,Yes,Yes,Yes,NA,NA,2880,30,NA,5000,50,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,2880,NA,30,60,NA,NA,5000,NA,50,100
51,UK,74,Male,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,Yes,Yes,Yes,DK,NA,NA,575,5,NA,1000,10,NA,NA,0,Yes,1,DK,NA,1,NA,NA,NA,575,287.5,5,10,NA,NA,1000,500,10,20
52,UK,24,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,No,NA,NA,NA,No,NA,NA,NA,230,NA,NA,400,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,230,115,NA,NA,NA,NA,400,200,NA,NA,NA,NA
53,UK,57,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,No,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,UK,66,Male,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,No,NA,No,NA,290,115,NA,500,200,NA,NA,1,No,0,No,NA,0,0,NA,NA,290,580,115,57.5,NA,NA,500,1000,200,100
55,UK,73,Male,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,NA,5,60,NA,10,100,NA,NA,1,Yes,0,Yes,NA,1,1,NA,NA,5,10,60,30,NA,NA,10,20,100,50
56,UK,63,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,30,10,NA,50,20,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,30,60,10,20,NA,NA,50,100,20,40
57,UK,22,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,60,NA,NA,100,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,NA,NA,60,120,NA,NA,NA,NA,100,200
58,UK,43,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,Yes,No,NA,Yes,NA,NA,60,NA,NA,100,NA,NA,NA,NA,0,Yes,NA,NA,1,NA,NA,NA,NA,60,30,NA,NA,NA,NA,100,50
59,UK,71,Female,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,No,NA,NA,NA,No,NA,NA,NA,30,NA,NA,50,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,30,15,NA,NA,NA,NA,50,25,NA,NA,NA,NA
60,UK,73,Male,University completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,Yes,DK,NA,NA,Yes,DK,NA,NA,NA,2880,60,NA,5000,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880,NA,60,NA,NA,NA,5000,NA,100,NA
61,UK,70,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,Yes,No,NA,DK,NA,NA,NA,230,60,NA,400,100,NA,0,No,1,No,NA,NA,0,0,NA,230,115,60,120,NA,NA,400,200,100,200,NA,NA
62,UK,70,Male,Secondary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,5,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA,NA,NA,10,20,NA,NA
63,UK,62,Male,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,No,NA,Yes,Yes,No,NA,575,2880,30,1000,5000,50,0,No,1,No,1,No,0,0,0,575,287.5,2880,5760,30,60,1000,500,5000,10000,50,100
64,UK,69,Male,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,5,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA,NA,NA,10,20,NA,NA
65,UK,18,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,DK,NA,NA,NA,No,NA,NA,NA,60,NA,NA,100,NA,NA,1,No,NA,NA,NA,NA,0,NA,NA,60,120,NA,NA,NA,NA,100,200,NA,NA,NA,NA
66,UK,70,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,UK,68,Male,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,DK,NA,NA,NA,Yes,Yes,No,NA,230,NA,30,400,NA,50,0,No,NA,NA,1,No,0,NA,0,230,115,NA,NA,30,60,400,200,NA,NA,50,100
68,UK,68,Female,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,No,NA,5,60,NA,10,100,NA,NA,1,Yes,0,No,NA,1,0,NA,NA,5,10,60,30,NA,NA,10,20,100,50
69,UK,38,Male,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,Yes,No,NA,NA,NA,Yes,Yes,Yes,NA,230,NA,5,400,NA,10,0,Yes,NA,NA,1,Yes,1,NA,1,230,115,NA,NA,5,10,400,200,NA,NA,10,20
70,UK,50,Male,Primary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,UK,48,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,115,575,10,200,1000,20,1,Yes,1,Yes,1,Yes,1,1,1,115,230,575,1150,10,20,200,400,1000,2000,20,40
72,UK,63,Female,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,UK,79,Female,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,NA,2880,5,NA,5000,10,NA,NA,0,No,1,Yes,NA,0,1,NA,NA,2880,1440,5,10,NA,NA,5000,2500,10,20
74,UK,36,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,UK,73,Male,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,DK,NA,Yes,No,NA,DK,NA,60,115,NA,100,200,NA,NA,1,DK,0,DK,NA,NA,NA,NA,NA,60,120,115,57.5,NA,NA,100,200,200,100
76,UK,35,Male,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,No,NA,Yes,Yes,Yes,No,NA,230,575,60,400,1000,100,1,No,0,Yes,1,No,0,1,0,230,460,575,287.5,60,120,400,800,1000,500,100,200
77,UK,64,Male,Secondary completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,UK,50,Male,Secondary completed,Do not know,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,5,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA,NA,NA,10,20,NA,NA
80,UK,62,Male,Primary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,No,NA,NA,5,10,NA,10,20,NA,NA,1,Yes,1,No,NA,1,0,NA,NA,5,10,10,20,NA,NA,10,20,20,40
81,UK,68,Male,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,NA,2880,30,NA,5000,50,NA,NA,0,No,1,Yes,NA,0,1,NA,NA,2880,1440,30,60,NA,NA,5000,2500,50,100
82,UK,22,Male,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,DK,NA,NA,NA,Yes,Yes,Yes,NA,230,NA,5,400,NA,10,0,No,NA,NA,1,Yes,0,NA,1,230,115,NA,NA,5,10,400,200,NA,NA,10,20
83,UK,73,Male,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,Yes,No,NA,NA,NA,115,575,NA,200,1000,NA,1,Yes,0,Yes,NA,NA,1,1,NA,115,230,575,287.5,NA,NA,200,400,1000,500,NA,NA
84,UK,73,Male,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,Yes,DK,NA,NA,30,60,115,50,100,200,1,Yes,1,DK,NA,NA,1,NA,NA,30,60,60,120,115,NA,50,100,100,200,200,NA
85,UK,74,Male,Less than primary completed,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,No,60,60,30,100,100,50,0,Yes,0,Yes,0,No,1,1,0,60,30,60,30,30,15,100,50,100,50,50,25
86,UK,49,Female,University completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,DK,NA,NA,NA,Yes,DK,NA,NA,575,NA,60,1000,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,575,NA,NA,NA,60,NA,1000,NA,NA,NA,100,NA
87,UK,60,Male,Primary completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,60,NA,NA,100,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,60,120,NA,NA,NA,NA,100,200,NA,NA
88,UK,65,Female,Secondary completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,5,NA,NA,10,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA,NA,NA,10,20,NA,NA
89,UK,72,Male,Less than primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,UK,71,Male,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,5,5,NA,10,10,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,5,10,5,10,NA,NA,10,20,10,20
91,UK,60,Male,Less than primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,RS,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,UK,40,Male,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,Yes,No,NA,Yes,No,NA,Yes,115,5,10,200,10,20,0,No,1,No,0,Yes,0,0,1,115,57.5,5,10,10,5,200,100,10,20,20,10
93,UK,53,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,No,NA,Yes,DK,NA,NA,NA,NA,575,NA,NA,1000,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,575,287.5,NA,NA,NA,NA,1000,500,NA,NA
